id,title,description,google_product_category,product_type,link,image_link,condition,availability,price,sale_price,brand,mpn,gtin,custom_label_0,is_bundle,custom_label_1,promotion_id,energy_efficiency_class,additional_image_link
1-1-142258,"VAX Rapid Power Refresh Carpet Cleaner","The Rapid Power Refresh Carpet Washer deep cleans your carpets. Leaves your carpets dry in less than an hour*.&nbsp;",,"Carpet Cleaner",https://www-local2.vax.co.uk/rapid-power-refresh,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_refresh_01_direct_72dpi_880x880.jpg,new,"OUT OF STOCK","199.99 GBP","199.99 GBP",Vax,1-1-142258,5012512169293,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/r/a/rapid_power_refresh_product_page_banner_2000x1333.jpg
1-1-142749,"VAX Platinum SmartWash Pet-Design Carpet Cleaner","VAX's best ever carpet washer kills over 99% of bacteria‡‡, is effortlessly simple to use and now with new, integrated pre-treatment wand, tackles tough stains and odours with ease - ideal for busy homes with pets. 
+ Free Steamer Worth £49.99",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-smartwash-pet-design,https://www-local2.vax.co.uk/media/catalog/product/p/l/platinum_smartwash_pet-design_01_direct_72dpi_880x880_880x880.jpg,new,"OUT OF STOCK","349.99 GBP","229.99 GBP",Vax,1-1-142749,5012512174273,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_smartwash_pet_design.jpg
1-1-142893,"VAX Spot Washing Solutions Bundle","Designed for use with any of our spot washers, this cleaning solutions bundle includes antibacterial solution with our latest fragrance, pre-treatment solution for stubborn stains and a CarpetGuard™ Protector which helps keep your carpets looking fresher for longer. ",,Solution,https://www-local2.vax.co.uk/spot-washing-solutions-bundle,https://www-local2.vax.co.uk/media/catalog/product/s/p/spowash_home_solution_kit_880x880.jpg,new,"OUT OF STOCK","32.99 GBP","16.99 GBP",Vax,1-1-142893,,Solution,0,,,,
1-9-142879,"Pet Stain & Odour Remover Pre-Treatment Solution 1 Litre Refill ","Our fast-acting formula effortlessly breaks down pet stains and odours. Use as a pre-treatment to loosen up stubborn pet stains and embedded dirt. For best results, follow up using the pre-treatment by washing as normal with your Vax carpet or spot washer.",,Solution,https://www-local2.vax.co.uk/pet-stain-odour-remover-pre-treatment-solution-1litre,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_645e324f078c1_Pet_Stain_Odour_Remover_Pre_Treatment_Solution_1L_Refill_01_direct_72DPI_880x88_jcmv8t.jpg,new,"OUT OF STOCK","12.99 GBP",,Vax,1-9-142879,5012512175621,Solution,0,,,,
1-P-142882,"VAX ONEPWR Glide 2","Our best performing cordless hard floor cleaner for spills, stains and deep cleans - VAX Glide 2 washes, extracts and dries in one simple step, killing 99.9% of bacteria*.",,Cordless,https://www-local2.vax.co.uk/onepwr-glide-2-plus-free-solution-brushroll,https://www-local2.vax.co.uk/media/catalog/product/g/l/glide_2_1.jpg,new,"OUT OF STOCK","349.99 GBP","249.99 GBP",Vax,1-P-142882,5012512175720,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_glide_2.jpg
1-P-142971,"VAX SpotWash Home Pet-Design","Our best cleaning companion for effortlessly removing spills, stains and pet messes with complete home versatility. Plus expert cleaning tools for a reassuring, deep clean, killing over 99% of bacteria‡‡. 
+ Free Stain Removal Kit Worth £30",,"Carpet Cleaner",https://www-local2.vax.co.uk/spotwash-home-pet-design-plus-stain-removal-kit,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_6658270591e44_SpotWash_Home_Pet-Design_01_direct_72DPI_880x880_cgkgbk.jpg,new,"OUT OF STOCK","199.99 GBP","199.99 GBP",Vax,1-P-142971,5012512176901,"Carpet Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_home_pet-design_homepage_banner_2x.jpg
1-1-142940,"VAX SpotWash Home Cordless Bare Unit","The cordless answer to cleaning spills, stains and pet messes in the home, car and on the go. Tackle stubborn clean ups with boost mode which gives 25% more suction powerΔ to make light work of restoring calm. 
Bare unit - battery and charger not included.",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-home-cordless-bare-unit,https://www-local2.vax.co.uk/media/catalog/product/u/n/untitled_design_8_.png,new,"OUT OF STOCK","149.99 GBP",,Vax,1-1-142940,5012512176543,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_65fc0367ce2d2_SpotWash_Home_Cordless_Product_Page_Header_Static_n2sl39.jpg
1-2-142683,"Vax Blade 4 Pet & Car Floorhead","This replacement floorhead is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement floorhead is compatible with all Blade 3 and 4 models.
This item is from our extended range of Service Parts and as such might not be supplied in retail packaging and from time to time the colour may vary, rest assured though – this is a genuine Vax Part.",,Accessory,https://www-local2.vax.co.uk/floorhead-with-brush-bar,https://www-local2.vax.co.uk/media/catalog/product/1/-/1-2-142179_floorhead_plan_view_blade_4_1.jpg,new,"OUT OF STOCK","44.99 GBP",,Vax,1-2-142683,,Accessory,0,,,,
1-1-134509-00,"Vax Air Purifier Filter Kit Type 113","Filter kit consisting of 2x Carbon filter and 1x HEPA filter",,Accessory,https://www-local2.vax.co.uk/filter-kit-type-113,https://www-local2.vax.co.uk/media/catalog/product/1/-/1-1-134509-00_with-box_web.jpg,new,"OUT OF STOCK","29.99 GBP",,Vax,1-1-134509-00,,Accessory,0,,,,
1-1-142890,"VAX SpotWash Home Cordless","The cordless answer to cleaning spills, stains and pet messes in the home, car and on the go. Tackle stubborn clean ups with boost mode which gives 25% more suction powerΔ to make light work of restoring calm. ",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-onepwr-spotwash-home-cordless,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_64f6eb5756671_Spotwash_Home_Cordless_Category_Image_72DPI_880x880_v0ldli.jpg,new,"OUT OF STOCK","250.00 GBP",,Vax,1-1-142890,5012512175805,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_650b11dbdda29_SpotWash_Home_Cordless_Hero_1134x756_2x_kgllz4.jpg
1-P-143095,"VAX SpotWash Home Cordless","The cordless answer to cleaning spills, stains and pet messes in the home, car and on the go. Tackle stubborn clean ups with boost mode which gives 25% more suction powerΔ to make light work of restoring calm. 
+ Free Stain Removal Kit Worth £30",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-home-cordless-plus-stain-removal-kit,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_home_cordless_01_ao_retail_72dpi_3000x3000_880x880.jpg,new,"OUT OF STOCK","249.99 GBP","199.99 GBP",Vax,1-P-143095,5012512175805,"Carpet Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_spotwash_max_cordless_1.jpg
1-1-142783,"VAX SpotWash Max Duo","Our most powerful SpotWasher with 30% more suction power* to give the best cleaning results when tackling stubborn stains, spills and pet messes. With larger tanks, clean, revive and restore throughout the whole home and car. ",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-max-duo,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_64ede29f6e879_spotwash_max_duo_category_image_72dpi_880x880.jpg,new,"OUT OF STOCK","219.99 GBP",,Vax,1-1-142783,5012512174617,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_max_duo_product_page_header_static.jpg
1-P-143096,"VAX SpotWash Max Duo","Our most powerful SpotWasher with 30% more suction power* to give the best cleaning results when tackling stubborn stains, spills and pet messes. With larger tanks, clean, revive and restore throughout the whole home and car. 
+ Free Stain Removal Kit Worth £30",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-max-duo-plus-stain-removal-kit,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_max_duo_01_ao_retail_72dpi_3000x3000_880x880.jpg,new,"OUT OF STOCK","219.99 GBP","149.99 GBP",Vax,1-P-143096,5012512174617,"Carpet Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/v/a/vaxuk3366_-_spotwash_max_duo_1.jpg
1-1-142784,"VAX SpotWash Max Pet-Design","Our most powerful SpotWasher with 30% more suction power* combined with the SpinScrub Hand tool gives the best cleaning results when tackling stubborn pet messes and household spills and stains.
Receive a FREE solution with code PET",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-max-pet-design,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_64ede551536c6_spotwash_max_pet-design_category_image_72dpi_880x880.jpg,new,"OUT OF STOCK","229.99 GBP",,Vax,1-1-142784,5012512174624,"Carpet Cleaner",0,,,,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwash_max_pet-design_product_page_header_static.jpg
1-P-143097,"VAX SpotWash Max Pet-Design","With larger tanks - clean, revive and restore your home, car and pet-loved areas. Our most powerful SpotWasher with 30% more suction power* combined with the SpinScrub Hand tool gives the best cleaning results when tackling stubborn pet messes and household spills and stains. 
+ Free Stain Removal Kit Worth £30",,"Carpet Cleaner",https://www-local2.vax.co.uk/vax-spotwash-max-pet-plus-stain-removal-kit,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_64f881c2ad034_Spotwash_Max_Pet-Design_Category_Image_72DPI_880x880_jvfegu.jpg,new,"OUT OF STOCK","229.99 GBP","229.99 GBP",Vax,1-P-143097,5012512174624,"Carpet Cleaner",1,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_65ce00c92167b_SWMPD-Gallery-image-01_2x_kgldi7.jpg
1-9-143093,"VAX Spot Washing Solutions Kit","Designed for use with any of our Spot Washers, this cleaning solutions bundle includes antibacterial solution with our latest fragrance, pre-treatment solution for stubborn stains and a CarpetGuard™ Protector which helps keep your carpets looking fresher for longer.",,Solution,https://www-local2.vax.co.uk/vax-spot-washing-solutions-kit,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_650aebb0d284d_Spotwash_Home_Solution_Kit_mq6vwt.jpg,new,"OUT OF STOCK","32.99 GBP",,Vax,1-9-143093,,Solution,0,,,,
1-9-143111,"VAX Spot Wash Oxy-Lift Boost Cleaning Solution 1L","Designed for targeting tough stains, the Oxy-Lift Boost formula helps to break down and lift tough, embedded dirt and soils from your carpets.",,Solution,https://www-local2.vax.co.uk/vax-spotwash-cleaning-solution-oxy-lift-1l,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwasher_oxylift_solution_rose_burst_1l_direct_72dpi_880x880_1.jpg,new,"OUT OF STOCK","12.99 GBP",,Vax,1-9-143111,5012512178387,Solution,0,,,,
1-9-143106,"VAX Spot Wash Oxy-Lift Boost Cleaning Solution 1.5L","Designed for targeting tough stains, the Oxy Lift formula helps to break down and lift tough, embedded dirt and soils from your carpets.",,Solution,https://www-local2.vax.co.uk/vax-spotwash-cleaning-solution-oxy-lift-1-5l,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwasher_oxylift_solution_rose_burst_1.5l_direct_72dpi_880x880_1.jpg,new,"OUT OF STOCK","17.99 GBP",,Vax,1-9-143106,5012512178318,Solution,0,,,,
1-1-134240-00,"Vax Action 402 Pet Cylinder Vacuum Cleaner","
Compact and lightweight
Ideal for pet owners
Combination floor head
Additional tools

Compact and lightweight
The Action 402 Pet is lightweight weighing only 5kg making it easy to carry up and down stairs. It&rsquo;s also compact for easy storage.
&nbsp;
Ideal for pet owners
The on board TurboTool is great for removing stubborn dirt and pet hair from stairs and upholstery around your home.
&nbsp;
Combination floor head
The combination floor head is perfect for cleaning carpets and hard floors as you can switch it seamlessly between the both for the best clean.
&nbsp;
Additional tools
The Vax Action 402 Pet has various tools including a metal telescopic extension tube, TurboTool to remove embedded dirt and pet hair and a 3-in-1 tool for all other above the floor cleaning jobs.",,"Vacuum Cleaner",https://www-local2.vax.co.uk/action-402-pet-cylinder-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/c/8/c86-id-pe_hero.jpg,new,"OUT OF STOCK","159.99 GBP",,Vax,1-1-134240-00,5012512148656,"Vacuum Cleaner",0,,,,
1-3-143052,"Vax Grout Brush ","This replacement Grout Brush is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Grout Brush is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-grout-brush,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a432f05c89_Grout_Tool_xvxkeb.png,new,"OUT OF STOCK","3.99 GBP",,Vax,1-3-143052,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143054,"Vax Window Tool","This replacement Window Tool is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Window Tool is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-window-tool,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a44bd133d7_Window_Top_a8bzhr.png,new,"OUT OF STOCK","3.99 GBP",,Vax,1-9-143054,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143055,"Vax Deep Scrubbing Brush","This replacement Deep Scrubbing Brush is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Deep Scrubbing Brush is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-deep-scrubbing-brush,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a45b63b776_Deep_Scrubbing_Brush_3Q_hrpdot.png,new,"OUT OF STOCK","4.99 GBP",,Vax,1-9-143055,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143058,"Vax Heavy Duty Cleaning Pad","This replacement Heavy Duty Cleaning Pad is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Heavy Duty Cleaning Pad is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-heavy-duty-cleaning-pad,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a469e2cd2f_SMALL_PAD_FRONT_a74kzq.png,new,"OUT OF STOCK","4.49 GBP",,Vax,1-9-143058,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143059,"Flat Plate Tool + Scrub Pad Attachment","This replacement Vax Flat Plate Tool & Scrub Pad Holder is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Vax Flat Plate Tool & Scrub Pad Holder is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-flat-plate-tool-scrub-pad-attachments,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_655c914e86e69_FlatPlateToolScrubPadHolder_bpk6ky.png,new,"OUT OF STOCK","4.99 GBP",,Vax,1-9-143059,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-2-143062,"Vax Hose with Ergonomic Handle","This replacement Hose with Ergonomic Handle is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Hose with Ergonomic Handle is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-hose-with-ergonomic-handle,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a4bfdac696_Ergonomic_Hose_Front_ezu0fn.png,new,"OUT OF STOCK","14.99 GBP",,Vax,1-2-143062,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-2-143063,"Vax Clean Water Tank","This replacement Clean Water Tank is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Clean Water Tank is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-clean-water-tank,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a54f80ec43_CLEAN_WATER_TANK_TOP_vqemxw.png,new,"OUT OF STOCK","9.99 GBP",,Vax,1-2-143063,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-2-143067,"Vax Handle","This replacement Handle is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Handle is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/1-2-143067,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a5772ee8ea_HANDLE_TOP_yyofdl.png,new,"OUT OF STOCK","14.99 GBP",,Vax,1-2-143067,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143068,"Vax Carpet Glider","This replacement Carpet Glider is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Carpet Glider is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/1-9-143068,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a605baebcb_Blue_Glider_Top_wzkugb.png,new,"OUT OF STOCK","4.99 GBP",,Vax,1-9-143068,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-2-143069,"Vax Floorhead Including Nano Head","This replacement Floorhead Including Nano Head is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Floorhead Including Nano Head is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-floorhead-including-nano-head,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a6631a72ca_FLOORHEAD_INCLUDING_NANO_HEAD_3Q_jskj9z.png,new,"OUT OF STOCK","19.99 GBP",,Vax,1-2-143069,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-7-143071,"Vax Hard Water Filter","This replacement Hard Water Filter is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Hard Water Filter is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/1-7-143071,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_654a679a8ee64_Filter_3Q_vh16kr.png,new,"OUT OF STOCK","3.99 GBP",,Vax,1-7-143071,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143056,"Vax Micro Pad","This replacement Micro Pad is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Micro Pad is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-utility-pad,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_655c9035d1595_micro-pad2_ztc8zd.jpg,new,"OUT OF STOCK","3.99 GBP",,Vax,1-9-143056,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143070,"Vax Detail Nozzle","This replacement Detail Nozzle is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Detail Nozzle is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-detail-nozzle,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_655632767fefe_Detail_Nozzle_ak1slz.jpg,new,"OUT OF STOCK","3.99 GBP",,Vax,1-9-143070,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-9-143105,"VAX Spot Wash Antibacterial Cleaning Solution 1.5L","Kill’s 99.99% of bacteria and tackles stains and odours associated with the growth of bacteria.",,Solution,https://www-local2.vax.co.uk/vax-spotwash-cleaning-solution-antibacterial-1-5l,https://www-local2.vax.co.uk/media/catalog/product/s/p/spotwasher_antibacterial_solution_cotton_peony_1.5l_direct_72dpi_880x880_1_1.jpg,new,"OUT OF STOCK","21.99 GBP",,Vax,1-9-143105,5012512178301,Solution,0,,,,
1-3-143066,"Vax Solution Tank Cap","This replacement Solution Tank Cap is a genuine Vax replacement part, specifically designed for your machine by the designers and engineers here at Vax.
This replacement Solution Tank Cap is compatible with the following models:
CDST-SFXS
CDST-SFXT",,Accessory,https://www-local2.vax.co.uk/vax-solution-tank-cap,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_655f5fa1308c0_SOLUTION_TANK_CAP_3Q_gd40ao.png,new,"OUT OF STOCK","2.99 GBP",,Vax,1-3-143066,,Accessory,0,,,,https://www-local2.vax.co.uk/media/catalog/productno_selection
1-1-143015,"VAX Steam Fresh Home Steam Cleaner","Kill 99.9% of bacteria and protects your home for longer* with this versatile steam cleaner and additional multifunctional tools.",,Cordless,https://www-local2.vax.co.uk/vax-steam-fresh-home-steam-cleaner,https://www-local2.vax.co.uk/media/catalog/product/s/t/steam_fresh_home_880x880.jpg,new,"OUT OF STOCK","139.99 GBP","99.99 GBP",Vax,1-1-143015,5012512177328,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/s/t/steam-fresh-home-f_b-06.jpg
1-1-143016,"VAX Steam Fresh Total Home Steam Cleaner","Loaded with extra tools for a whole home clean, our most versatile steam cleaner kills 99.9% of bacteria and protects your home for longer*.",,Cordless,https://www-local2.vax.co.uk/vax-steam-fresh-total-home-steam-cleaner,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_6579ac8204ac0_Steam_Fresh_Total_Home_-_Blank_psw5ww.jpg,new,"OUT OF STOCK","159.99 GBP","159.99 GBP",Vax,1-1-143016,5012512177335,Cordless,0,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_656f3cadd013c_cld_656f30e4c92d7_Product_Page_Carousel_1134x756_Carpet_Cleaner_Range_u1jhwg.jpg
1-5-142046,"Vax 3.0Ah ONEPWR Battery","The Vax ONEPWR battery is our most advanced technology yet, and is interchangeable between the range of ONEPWR products. That means you can power the whole ONEPWR family with the same battery.

 

With an additional 3.0Ah battery for your Vax ONEPWR product, you can extend your runtime and be ready to clean for longer. Simply swap the battery for another and keep going.

",,Accessory,https://www-local2.vax.co.uk/vax-3ah-onepwr-battery,https://www-local2.vax.co.uk/media/catalog/product/a/t/atoms_media_spares_batteries_1-5-142046_3.0ah_3q.png,new,"OUT OF STOCK","79.99 GBP",,Vax,1-5-142046,,Accessory,0,,,,
1-P-143264,"VAX Evolve","Lightweight, quick cleaning – without the cord.",,Cordless,https://www-local2.vax.co.uk/vax-evolve-cordless-vacuum-cleaner,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_668d409dad274_evolve_category.png,new,"OUT OF STOCK","179.99 GBP",,Vax,1-P-143264,5012512172675,Cordless,1,,,,https://www-local2.vax.co.uk/media/catalog/product/c/l/cld_668d414644378_homepage-carousel-evolve-2000x1333-02.jpg
